# Sinographic Integration Lexicon - 1500 Core Words
# Format: English,Hanzi,Pinyin,POS,Category,Priority,Logic
# 注：功能词(代词、冠词、助动词等)保留英文原词，用"(保留)"标记

# 1-100: 最高频功能词和核心概念
amoral,无,wú,adj,Modern/Abstract,5,T1
religious,宗,zōng,adj,Modern/Abstract,4,T1
spiritual,灵,líng,adj,Modern/Abstract,4,T1
secular,世,shì,adj,Modern/Abstract,5,T1
atheist,无,wú,adj,Modern/Abstract,5,T2
agnostic,不,bù,adj,Modern/Abstract,5,T2

# 1201-1300: 商业和经济
business,商,shāng,n,Modern/Abstract,2,T1
commerce,贸,mào,n,Modern/Abstract,4,T1
trade,易,yì,n,Modern/Abstract,3,T1
industry,业,yè,n,Modern/Abstract,3,T1
market,市,shì,n,Modern/Abstract,2,T1
economy,经,jīng,n,Modern/Abstract,3,T1
finance,财,cái,n,Modern/Abstract,3,T1
money,钱,qián,n,Modern/Abstract,1,T1
currency,币,bì,n,Modern/Abstract,4,T1
cash,现,xiàn,n,Modern/Abstract,3,T1
coin,币,bì,n,Modern/Abstract,4,T3
bill,钞,chāo,n,Modern/Abstract,4,T1
credit,信,xìn,n,Modern/Abstract,3,T1
debit,借,jiè,n,Modern/Abstract,4,T1
loan,贷,dài,n,Modern/Abstract,4,T1
debt,债,zhài,n,Modern/Abstract,4,T1
interest,息,xī,n,Modern/Abstract,3,T3
profit,利,lì,n,Modern/Abstract,3,T1
loss,损,sǔn,n,Modern/Abstract,3,T1
revenue,收,shōu,n,Modern/Abstract,4,T1
income,入,rù,n,Modern/Abstract,3,T1
expense,出,chū,n,Modern/Abstract,3,T1
cost,费,fèi,n,Modern/Abstract,3,T1
price,价,jià,n,Modern/Abstract,2,T1
value,值,zhí,n,Modern/Abstract,2,T1
worth,值,zhí,n,Modern/Abstract,3,T3
asset,资,zī,n,Modern/Abstract,4,T1
liability,债,zhài,n,Modern/Abstract,5,T1
equity,股,gǔ,n,Modern/Abstract,5,T1
stock,股,gǔ,n,Modern/Abstract,4,T3
share,股,gǔ,n,Modern/Abstract,4,T3
bond,债,zhài,n,Modern/Abstract,5,T3
investment,投,tóu,n,Modern/Abstract,4,T1
return,回,huí,n,Modern/Abstract,3,T1
risk,风,fēng,n,Modern/Abstract,3,T1
insurance,保,bǎo,n,Modern/Abstract,4,T1
policy,策,cè,n,Modern/Abstract,3,T3
contract,合,hé,n,Modern/Abstract,4,T1
agreement,协,xié,n,Modern/Abstract,3,T1
deal,交,jiāo,n,Modern/Abstract,3,T1
transaction,易,yì,n,Modern/Abstract,4,T1
payment,付,fù,n,Modern/Abstract,3,T1
receipt,收,shōu,n,Modern/Abstract,4,T1
invoice,票,piào,n,Modern/Abstract,4,T1
tax,税,shuì,n,Modern/Abstract,3,T1
duty,税,shuì,n,Modern/Abstract,4,T3
tariff,关,guān,n,Modern/Abstract,5,T1
subsidy,补,bǔ,n,Modern/Abstract,5,T1
grant,授,shòu,n,Modern/Abstract,5,T1
salary,薪,xīn,n,Modern/Abstract,3,T1
wage,工,gōng,n,Modern/Abstract,4,T3
income,收,shōu,n,Modern/Abstract,3,T1
earnings,赚,zhuàn,n,Modern/Abstract,4,T1
bonus,奖,jiǎng,n,Modern/Abstract,4,T1
commission,佣,yòng,n,Modern/Abstract,5,T1
pension,养,yǎng,n,Modern/Abstract,5,T1
retirement,退,tuì,n,Modern/Abstract,4,T1
unemployment,失,shī,n,Modern/Abstract,4,T1
employment,就,jiù,n,Modern/Abstract,3,T1
job,工,gōng,n,Modern/Abstract,1,T2
work,作,zuò,n,Modern/Abstract,1,T2
career,职,zhí,n,Modern/Abstract,2,T1
profession,专,zhuān,n,Modern/Abstract,3,T1
vocation,业,yè,n,Modern/Abstract,4,T1
occupation,职,zhí,n,Modern/Abstract,4,T3
position,职,zhí,n,Modern/Abstract,3,T3
role,角,jué,n,Modern/Abstract,3,T1
title,衔,xián,n,Modern/Abstract,4,T1
rank,级,jí,n,Modern/Abstract,3,T1
status,地,dì,n,Modern/Abstract,3,T3
prestige,声,shēng,n,Modern/Abstract,5,T1
reputation,誉,yù,n,Modern/Abstract,4,T1
fame,名,míng,n,Modern/Abstract,4,T1
infamy,恶,è,n,Modern/Abstract,5,T1
honor,荣,róng,n,Modern/Abstract,4,T1
dishonor,耻,chǐ,n,Modern/Abstract,5,T1
glory,荣,róng,n,Modern/Abstract,4,T3
shame,羞,xiū,n,Modern/Abstract,4,T1
pride,傲,ào,n,Modern/Abstract,4,T1
humility,谦,qiān,n,Modern/Abstract,5,T1
confidence,信,xìn,n,Modern/Abstract,3,T1
self-esteem,尊,zūn,n,Modern/Abstract,5,T1

# 1301-1400: 教育和学术
education,教,jiào,n,Modern/Abstract,2,T1
school,校,xiào,n,Modern/Abstract,1,T1
university,大,dà,n,Modern/Abstract,3,T1
college,学,xué,n,Modern/Abstract,3,T1
institute,院,yuàn,n,Modern/Abstract,4,T1
academy,院,yuàn,n,Modern/Abstract,4,T3
department,系,xì,n,Modern/Abstract,4,T1
faculty,教,jiào,n,Modern/Abstract,5,T1
professor,教,jiào,n,Modern/Abstract,4,T1
teacher,师,shī,n,Modern/Abstract,1,T1
student,生,shēng,n,Modern/Abstract,1,T1
learner,学,xué,n,Modern/Abstract,3,T3
pupil,生,shēng,n,Modern/Abstract,4,T3
classmate,同,tóng,n,Modern/Abstract,4,T1
class,班,bān,n,Modern/Abstract,1,T1
course,课,kè,n,Modern/Abstract,2,T1
subject,科,kē,n,Modern/Abstract,3,T1
discipline,科,kē,n,Modern/Abstract,4,T3
major,专,zhuān,n,Modern/Abstract,4,T1
minor,副,fù,n,Modern/Abstract,5,T1
degree,学,xué,n,Modern/Abstract,3,T3
diploma,凭,píng,n,Modern/Abstract,5,T1
certificate,证,zhèng,n,Modern/Abstract,4,T1
license,许,xǔ,n,Modern/Abstract,4,T1
qualification,资,zī,n,Modern/Abstract,5,T1
credential,凭,píng,n,Modern/Abstract,5,T1
examination,考,kǎo,n,Modern/Abstract,3,T1
test,试,shì,n,Modern/Abstract,2,T1
quiz,测,cè,n,Modern/Abstract,4,T1
assessment,评,píng,n,Modern/Abstract,4,T1
evaluation,估,gū,n,Modern/Abstract,4,T1
grade,级,jí,n,Modern/Abstract,3,T1
mark,分,fēn,n,Modern/Abstract,4,T3
score,分,fēn,n,Modern/Abstract,3,T1
result,果,guǒ,n,Modern/Abstract,2,T1
performance,绩,jì,n,Modern/Abstract,3,T1
achievement,成,chéng,n,Modern/Abstract,3,T1
progress,进,jìn,n,Modern/Abstract,3,T1
improvement,进,jìn,n,Modern/Abstract,3,T3
development,发,fā,n,Modern/Abstract,2,T1
growth,长,zhǎng,n,Modern/Abstract,3,T1
advancement,进,jìn,n,Modern/Abstract,4,T1
regression,退,tuì,n,Modern/Abstract,5,T1
decline,衰,shuāi,n,Modern/Abstract,4,T1
deterioration,恶,è,n,Modern/Abstract,5,T1
improvement,善,shàn,n,Modern/Abstract,3,T1
enhancement,增,zēng,n,Modern/Abstract,4,T1
upgrade,升,shēng,n,Modern/Abstract,4,T1
downgrade,降,jiàng,n,Modern/Abstract,5,T1
maintenance,维,wéi,n,Modern/Abstract,4,T1
preservation,保,bǎo,n,Modern/Abstract,4,T1
conservation,保,bǎo,n,Modern/Abstract,4,T3
protection,护,hù,n,Modern/Abstract,3,T1
defense,防,fáng,n,Modern/Abstract,3,T1
security,安,ān,n,Modern/Abstract,3,T1
safety,全,quán,n,Modern/Abstract,3,T1
danger,险,xiǎn,n,Modern/Abstract,3,T1
risk,危,wēi,n,Modern/Abstract,3,T1
threat,胁,xié,n,Modern/Abstract,4,T1
hazard,害,hài,n,Modern/Abstract,5,T1
peril,危,wēi,n,Modern/Abstract,5,T1
jeopardy,危,wēi,n,Modern/Abstract,5,T3

# 1401-1500: 最后100个词（混合类别）
philosophy,哲,zhé,n,Modern/Abstract,4,T1
science,科,kē,n,Modern/Abstract,2,T1
art,艺,yì,n,Modern/Abstract,2,T1
literature,文,wén,n,Modern/Abstract,3,T1
history,史,shǐ,n,Modern/Abstract,3,T1
geography,地,dì,n,Modern/Abstract,4,T1
mathematics,数,shù,n,Modern/Abstract,3,T1
physics,物,wù,n,Modern/Abstract,4,T1
chemistry,化,huà,n,Modern/Abstract,4,T1
biology,生,shēng,n,Modern/Abstract,4,T1
astronomy,天,tiān,n,Modern/Abstract,5,T1
geology,地,dì,n,Modern/Abstract,5,T3
psychology,心,xīn,n,Modern/Abstract,4,T1
sociology,社,shè,n,Modern/Abstract,5,T1
anthropology,人,rén,n,Modern/Abstract,5,T1
economics,经,jīng,n,Modern/Abstract,4,T1
politics,政,zhèng,n,Modern/Abstract,3,T1
law,法,fǎ,n,Modern/Abstract,2,T1
medicine,医,yī,n,Modern/Abstract,2,T1
engineering,工,gōng,n,Modern/Abstract,4,T1
architecture,建,jiàn,n,Modern/Abstract,4,T1
music,音,yīn,n,Modern/Abstract,2,T1
dance,舞,wǔ,n,Modern/Abstract,3,T1
theater,戏,xì,n,Modern/Abstract,4,T1
film,电,diàn,n,Modern/Abstract,2,T1
photography,摄,shè,n,Modern/Abstract,4,T1
painting,绘,huì,n,Modern/Abstract,3,T1
sculpture,雕,diāo,n,Modern/Abstract,5,T1
poetry,诗,shī,n,Modern/Abstract,4,T1
prose,散,sǎn,n,Modern/Abstract,5,T1
fiction,虚,xū,n,Modern/Abstract,4,T1
nonfiction,实,shí,n,Modern/Abstract,5,T1
biography,传,chuán,n,Modern/Abstract,5,T1
autobiography,自,zì,n,Modern/Abstract,5,T1
memoir,忆,yì,n,Modern/Abstract,5,T1
journal,日,rì,n,Modern/Abstract,4,T3
diary,记,jì,n,Modern/Abstract,4,T1
blog,博,bó,n,Modern/Abstract,4,T1
podcast,播,bō,n,Modern/Abstract,4,T1
video,视,shì,n,Modern/Abstract,3,T1
audio,声,shēng,n,Modern/Abstract,4,T1
visual,视,shì,adj,Modern/Abstract,4,T1
auditory,听,tīng,adj,Modern/Abstract,5,T1
tactile,触,chù,adj,Modern/Abstract,5,T1
olfactory,嗅,xiù,adj,Modern/Abstract,5,T1
gustatory,味,wèi,adj,Modern/Abstract,5,T1
sensory,感,gǎn,adj,Modern/Abstract,5,T1
perceptual,知,zhī,adj,Modern/Abstract,5,T1
cognitive,认,rèn,adj,Modern/Abstract,5,T1
emotional,情,qíng,adj,Modern/Abstract,4,T1
rational,理,lǐ,adj,Modern/Abstract,4,T1
irrational,非,fēi,adj,Modern/Abstract,5,T1
logical,逻,luó,adj,Modern/Abstract,4,T1
illogical,非,fēi,adj,Modern/Abstract,5,T2
reasonable,合,hé,adj,Modern/Abstract,3,T1
unreasonable,不,bù,adj,Modern/Abstract,4,T2
sensible,明,míng,adj,Modern/Abstract,4,T1
sensitive,敏,mǐn,adj,Modern/Abstract,4,T1
insensitive,钝,dùn,adj,Modern/Abstract,5,T1
responsive,应,yìng,adj,Modern/Abstract,4,T1
unresponsive,不,bù,adj,Modern/Abstract,5,T1
reactive,反,fǎn,adj,Modern/Abstract,5,T1
proactive,主,zhǔ,adj,Modern/Abstract,5,T1
active,主,zhǔ,adj,Modern/Abstract,3,T1
passive,被,bèi,adj,Modern/Abstract,4,T1
aggressive,攻,gōng,adj,Modern/Abstract,4,T1
defensive,防,fáng,adj,Modern/Abstract,4,T1
offensive,攻,gōng,adj,Modern/Abstract,4,T1
neutral,中,zhōng,adj,Modern/Abstract,4,T1
balanced,衡,héng,adj,Modern/Abstract,4,T1
unbalanced,失,shī,adj,Modern/Abstract,5,T1
stable,稳,wěn,adj,Modern/Abstract,4,T1
unstable,不,bù,adj,Modern/Abstract,5,T1
steady,稳,wěn,adj,Modern/Abstract,4,T3
unsteady,摇,yáo,adj,Modern/Abstract,5,T1
firm,坚,jiān,adj,Modern/Abstract,4,T1
inflexible,僵,jiāng,adj,Modern/Abstract,5,T1
flexible,柔,róu,adj,Modern/Abstract,4,T1
rigid,硬,yìng,adj,Modern/Abstract,4,T1
soft,软,ruǎn,adj,Modern/Abstract,2,T1
hard,硬,yìng,adj,Modern/Abstract,2,T1
tough,韧,rèn,adj,Modern/Abstract,4,T1
fragile,脆,cuì,adj,Modern/Abstract,4,T1
delicate,精,jīng,adj,Modern/Abstract,4,T1
coarse,粗,cū,adj,Modern/Abstract,4,T1
fine,细,xì,adj,Modern/Abstract,3,T1
smooth,滑,huá,adj,Modern/Abstract,3,T1
rough,糙,cāo,adj,Modern/Abstract,4,T1
sharp,锐,ruì,adj,Modern/Abstract,3,T1
dull,钝,dùn,adj,Modern/Abstract,4,T1
bright,亮,liàng,adj,Modern/Abstract,2,T1
dim,暗,àn,adj,Modern/Abstract,4,T1
transparent,透,tòu,adj,Modern/Abstract,4,T1
opaque,不,bù,adj,Modern/Abstract,5,T2
translucent,半,bàn,adj,Modern/Abstract,5,T1
clear,清,qīng,adj,Modern/Abstract,2,T1
cloudy,朦,méng,adj,Modern/Abstract,4,T1
pure,纯,chún,adj,Modern/Abstract,3,T1
impure,杂,zá,adj,Modern/Abstract,5,T1
clean,洁,jié,adj,Modern/Abstract,2,T1
dirty,脏,zāng,adj,Modern/Abstract,2,T1
sanitary,卫,wèi,adj,Modern/Abstract,5,T1
hygienic,卫,wèi,adj,Modern/Abstract,5,T3
sterile,无,wú,adj,Modern/Abstract,5,T1
fertile,沃,wò,adj,Modern/Abstract,5,T1
barren,荒,huāng,adj,Modern/Abstract,5,T1
productive,沃,wò,adj,Modern/Abstract,4,T2
unproductive,贫,pín,adj,Modern/Abstract,5,T1
efficient,效,xiào,adj,Modern/Abstract,3,T1
inefficient,低,dī,adj,Modern/Abstract,5,T1
effective,效,xiào,adj,Modern/Abstract,3,T1
ineffective,无,wú,adj,Modern/Abstract,5,T1
useful,有,yǒu,adj,Modern/Abstract,2,T2
useless,无,wú,adj,Modern/Abstract,3,T2
helpful,助,zhù,adj,Modern/Abstract,3,T1
harmful,害,hài,adj,Modern/Abstract,4,T1
beneficial,益,yì,adj,Modern/Abstract,4,T1
detrimental,损,sǔn,adj,Modern/Abstract,5,T1
advantageous,优,yōu,adj,Modern/Abstract,5,T1
disadvantageous,劣,liè,adj,Modern/Abstract,5,T1
favorable,利,lì,adj,Modern/Abstract,4,T1
unfavorable,不,bù,adj,Modern/Abstract,5,T1
positive,正,zhèng,adj,Modern/Abstract,3,T1
negative,负,fù,adj,Modern/Abstract,3,T1
optimistic,乐,lè,adj,Modern/Abstract,4,T1
pessimistic,悲,bēi,adj,Modern/Abstract,5,T1
realistic,实,shí,adj,Modern/Abstract,4,T1
idealistic,理,lǐ,adj,Modern/Abstract,5,T1
practical,实,shí,adj,Modern/Abstract,3,T1
theoretical,理,lǐ,adj,Modern/Abstract,4,T1
concrete,具,jù,adj,Modern/Abstract,4,T1
abstract,抽,chōu,adj,Modern/Abstract,4,T1
specific,具,jù,adj,Modern/Abstract,3,T1
general,一,yī,adj,Modern/Abstract,3,T1
particular,特,tè,adj,Modern/Abstract,3,T1
universal,普,pǔ,adj,Modern/Abstract,4,T1
local,地,dì,adj,Modern/Abstract,3,T1
global,全,quán,adj,Modern/Abstract,3,T1
international,国,guó,adj,Modern/Abstract,4,T1
national,国,guó,adj,Modern/Abstract,3,T1
regional,区,qū,adj,Modern/Abstract,4,T1
urban,城,chéng,adj,Modern/Abstract,4,T1
rural,乡,xiāng,adj,Modern/Abstract,4,T1
suburban,郊,jiāo,adj,Modern/Abstract,5,T1
metropolitan,都,dū,adj,Modern/Abstract,5,T1
cosmopolitan,世,shì,adj,Modern/Abstract,5,T1
traditional,传,chuán,adj,Modern/Abstract,3,T1
modern,现,xiàn,adj,Modern/Abstract,3,T1
contemporary,当,dāng,adj,Modern/Abstract,4,T1
ancient,古,gǔ,adj,Modern/Abstract,3,T1
medieval,中,zhōng,adj,Modern/Abstract,5,T1
renaissance,复,fù,adj,Modern/Abstract,5,T1
enlightenment,启,qǐ,adj,Modern/Abstract,5,T1
industrial,工,gōng,adj,Modern/Abstract,4,T1
postindustrial,后,hòu,adj,Modern/Abstract,5,T1
digital,数,shù,adj,Modern/Abstract,3,T1
analog,模,mó,adj,Modern/Abstract,5,T1
technological,科,kē,adj,Modern/Abstract,4,T1
scientific,科,kē,adj,Modern/Abstract,4,T3
artistic,艺,yì,adj,Modern/Abstract,4,T1
cultural,文,wén,adj,Modern/Abstract,3,T1
social,社,shè,adj,Modern/Abstract,2,T1
political,政,zhèng,adj,Modern/Abstract,3,T1
economic,经,jīng,adj,Modern/Abstract,3,T1
financial,财,cái,adj,Modern/Abstract,3,T1
military,军,jūn,adj,Modern/Abstract,4,T1
civil,民,mín,adj,Modern/Abstract,4,T1
religious,宗,zōng,adj,Modern/Abstract,4,T1
secular,世,shì,adj,Modern/Abstract,5,T1
spiritual,灵,líng,adj,Modern/Abstract,4,T1
physical,体,tǐ,adj,Modern/Abstract,3,T1
mental,心,xīn,adj,Modern/Abstract,3,T1
emotional,情,qíng,adj,Modern/Abstract,4,T1
psychological,心,xīn,adj,Modern/Abstract,5,T3
biological,生,shēng,adj,Modern/Abstract,5,T1
chemical,化,huà,adj,Modern/Abstract,5,T1
physical,物,wù,adj,Modern/Abstract,4,T3
mathematical,数,shù,adj,Modern/Abstract,5,T1
linguistic,语,yǔ,adj,Modern/Abstract,5,T1
philosophical,哲,zhé,adj,Modern/Abstract,5,T1
historical,史,shǐ,adj,Modern/Abstract,4,T1
geographical,地,dì,adj,Modern/Abstract,5,T1
astronomical,天,tiān,adj,Modern/Abstract,5,T1
geological,地,dì,adj,Modern/Abstract,5,T3
ecological,生,shēng,adj,Modern/Abstract,5,T1
environmental,环,huán,adj,Modern/Abstract,4,T1
climatic,气,qì,adj,Modern/Abstract,5,T1
meteorological,气,qì,adj,Modern/Abstract,5,T3
oceanographic,海,hǎi,adj,Modern/Abstract,5,T1
atmospheric,气,qì,adj,Modern/Abstract,5,T1
terrestrial,陆,lù,adj,Modern/Abstract,5,T1
aquatic,水,shuǐ,adj,Modern/Abstract,5,T1
aerial,空,kōng,adj,Modern/Abstract,5,T1
spatial,空,kōng,adj,Modern/Abstract,5,T1
temporal,时,shí,adj,Modern/Abstract,5,T1
dimensional,维,wéi,adj,Modern/Abstract,5,T1
linear,线,xiàn,adj,Modern/Abstract,5,T1
nonlinear,非,fēi,adj,Modern/Abstract,5,T1
quantitative,量,liàng,adj,Modern/Abstract,5,T1
qualitative,质,zhì,adj,Modern/Abstract,5,T1
empirical,经,jīng,adj,Modern/Abstract,5,T1
theoretical,理,lǐ,adj,Modern/Abstract,4,T1
experimental,实,shí,adj,Modern/Abstract,5,T1
observational,观,guān,adj,Modern/Abstract,5,T1
computational,算,suàn,adj,Modern/Abstract,5,T1
analytical,分,fēn,adj,Modern/Abstract,5,T1
synthetic,合,hé,adj,Modern/Abstract,5,T1
organic,有,yǒu,adj,Modern/Abstract,4,T2
inorganic,无,wú,adj,Modern/Abstract,5,T1
natural,自,zì,adj,Modern/Abstract,3,T1
artificial,人,rén,adj,Modern/Abstract,4,T1
synthetic,人,rén,adj,Modern/Abstract,5,T3
genuine,真,zhēn,adj,Modern/Abstract,4,T1
fake,假,jiǎ,adj,Modern/Abstract,3,T1
authentic,真,zhēn,adj,Modern/Abstract,4,T3
counterfeit,伪,wěi,adj,Modern/Abstract,5,T1
original,原,yuán,adj,Modern/Abstract,3,T1
copy,复,fù,adj,Modern/Abstract,4,T1
duplicate,复,fù,adj,Modern/Abstract,5,T3
replica,仿,fǎng,adj,Modern/Abstract,5,T1
imitation,仿,fǎng,adj,Modern/Abstract,5,T3
genuine,诚,chéng,adj,Modern/Abstract,4,T2
sincere,诚,chéng,adj,Modern/Abstract,4,T1
honest,诚,chéng,adj,Modern/Abstract,3,T1
truthful,实,shí,adj,Modern/Abstract,4,T1
deceptive,欺,qī,adj,Modern/Abstract,5,T1
dishonest,不,bù,adj,Modern/Abstract,4,T2
fraudulent,诈,zhà,adj,Modern/Abstract,5,T1
trustworthy,信,xìn,adj,Modern/Abstract,4,T1
reliable,靠,kào,adj,Modern/Abstract,4,T1
dependable,靠,kào,adj,Modern/Abstract,5,T3
unreliable,不,bù,adj,Modern/Abstract,5,T1
untrustworthy,不,bù,adj,Modern/Abstract,5,T2
faithful,忠,zhōng,adj,Modern/Abstract,4,T1
loyal,忠,zhōng,adj,Modern/Abstract,4,T3
devoted,忠,zhōng,adj,Modern/Abstract,5,T3
dedicated,献,xiàn,adj,Modern/Abstract,5,T1
committed,投,tóu,adj,Modern/Abstract,5,T1
involved,参,cān,adj,Modern/Abstract,4,T1
engaged,从,cóng,adj,Modern/Abstract,4,T1
detached,脱,tuō,adj,Modern/Abstract,5,T1
indifferent,漠,mò,adj,Modern/Abstract,5,T1
apathetic,冷,lěng,adj,Modern/Abstract,5,T1
enthusiastic,热,rè,adj,Modern/Abstract,4,T1
passionate,热,rè,adj,Modern/Abstract,4,T3
zealous,狂,kuáng,adj,Modern/Abstract,5,T1
fanatical,狂,kuáng,adj,Modern/Abstract,5,T3
moderate,温,wēn,adj,Modern/Abstract,4,T1
extreme,极,jí,adj,Modern/Abstract,4,T1
radical,激,jī,adj,Modern/Abstract,5,T1
conservative,保,bǎo,adj,Modern/Abstract,5,T1
liberal,开,kāi,adj,Modern/Abstract,5,T1
progressive,进,jìn,adj,Modern/Abstract,5,T1
reactionary,反,fǎn,adj,Modern/Abstract,5,T1
revolutionary,革,gé,adj,Modern/Abstract,5,T1
evolutionary,进,jìn,adj,Modern/Abstract,5,T1
innovative,新,xīn,adj,Modern/Abstract,4,T1
traditional,旧,jiù,adj,Modern/Abstract,3,T3
conventional,常,cháng,adj,Modern/Abstract,4,T1
unconventional,非,fēi,adj,Modern/Abstract,5,T1
orthodox,正,zhèng,adj,Modern/Abstract,5,T1
heterodox,异,yì,adj,Modern/Abstract,5,T1
mainstream,主,zhǔ,adj,Modern/Abstract,4,T1
alternative,替,tì,adj,Modern/Abstract,4,T1
marginal,边,biān,adj,Modern/Abstract,5,T1
central,中,zhōng,adj,Modern/Abstract,3,T1
peripheral,外,wài,adj,Modern/Abstract,5,T1
internal,内,nèi,adj,Modern/Abstract,3,T1
external,外,wài,adj,Modern/Abstract,3,T1
intrinsic,内,nèi,adj,Modern/Abstract,5,T1
extrinsic,外,wài,adj,Modern/Abstract,5,T1
inherent,固,gù,adj,Modern/Abstract,5,T1
acquired,获,huò,adj,Modern/Abstract,5,T1
innate,天,tiān,adj,Modern/Abstract,5,T1
learned,学,xué,adj,Modern/Abstract,5,T1
instinctive,本,běn,adj,Modern/Abstract,5,T1
reflexive,反,fǎn,adj,Modern/Abstract,5,T1
voluntary,自,zì,adj,Modern/Abstract,5,T1
involuntary,不,bù,adj,Modern/Abstract,5,T1
conscious,意,yì,adj,Modern/Abstract,4,T1
unconscious,无,wú,adj,Modern/Abstract,5,T1
subconscious,潜,qián,adj,Modern/Abstract,5,T1
deliberate,故,gù,adj,Modern/Abstract,4,T1
intentional,故,gù,adj,Modern/Abstract,5,T3
accidental,偶,ǒu,adj,Modern/Abstract,4,T1
unintentional,无,wú,adj,Modern/Abstract,5,T1
random,随,suí,adj,Modern/Abstract,4,T1
systematic,系,xì,adj,Modern/Abstract,4,T1
methodical,法,fǎ,adj,Modern/Abstract,5,T1
chaotic,混,hùn,adj,Modern/Abstract,5,T1
orderly,序,xù,adj,Modern/Abstract,4,T1
organized,组,zǔ,adj,Modern/Abstract,3,T1
disorganized,乱,luàn,adj,Modern/Abstract,4,T1
structured,构,gòu,adj,Modern/Abstract,4,T1
unstructured,无,wú,adj,Modern/Abstract,5,T1
formal,正,zhèng,adj,Modern/Abstract,3,T1
informal,非,fēi,adj,Modern/Abstract,4,T1
casual,随,suí,adj,Modern/Abstract,4,T1
official,官,guān,adj,Modern/Abstract,3,T1
unofficial,非,fēi,adj,Modern/Abstract,5,T1
public,公,gōng,adj,Modern/Abstract,2,T1
private,私,sī,adj,Modern/Abstract,2,T1
personal,个,gè,adj,Modern/Abstract,2,T1
impersonal,非,fēi,adj,Modern/Abstract,5,T1
individual,个,gè,adj,Modern/Abstract,3,T1
collective,集,jí,adj,Modern/Abstract,4,T1
communal,公,gōng,adj,Modern/Abstract,5,T1
social,社,shè,adj,Modern/Abstract,2,T1
antisocial,反,fǎn,adj,Modern/Abstract,5,T1
friendly,友,yǒu,adj,Modern/Abstract,2,T1
hostile,敌,dí,adj,Modern/Abstract,4,T1
amicable,友,yǒu,adj,Modern/Abstract,5,T1
antagonistic,对,duì,adj,Modern/Abstract,5,T1
cooperative,合,hé,adj,Modern/Abstract,4,T1
competitive,竞,jìng,adj,Modern/Abstract,4,T1
collaborative,协,xié,adj,Modern/Abstract,5,T1
adversarial,对,duì,adj,Modern/Abstract,5,T1
supportive,支,zhī,adj,Modern/Abstract,4,T1
oppositional,反,fǎn,adj,Modern/Abstract,5,T1
sympathetic,同,tóng,adj,Modern/Abstract,4,T1
unsympathetic,冷,lěng,adj,Modern/Abstract,5,T1
empathetic,同,tóng,adj,Modern/Abstract,5,T1
compassionate,慈,cí,adj,Modern/Abstract,5,T1
ruthless,无,wú,adj,Modern/Abstract,5,T1
merciful,仁,rén,adj,Modern/Abstract,5,T1
cruel,残,cán,adj,Modern/Abstract,4,T1
kind,善,shàn,adj,Modern/Abstract,3,T1
mean,恶,è,adj,Modern/Abstract,4,T1
generous,慷,kāng,adj,Modern/Abstract,4,T1
stingy,吝,lìn,adj,Modern/Abstract,5,T1
selfish,自,zì,adj,Modern/Abstract,4,T1
selfless,无,wú,adj,Modern/Abstract,5,T1
altruistic,利,lì,adj,Modern/Abstract,5,T1
egoistic,我,wǒ,adj,Modern/Abstract,5,T1
narcissistic,自,zì,adj,Modern/Abstract,5,T1
humble,谦,qiān,adj,Modern/Abstract,5,T1
arrogant,傲,ào,adj,Modern/Abstract,5,T1
modest,谦,qiān,adj,Modern/Abstract,4,T1
boastful,夸,kuā,adj,Modern/Abstract,5,T1
confident,信,xìn,adj,Modern/Abstract,3,T1
insecure,不,bù,adj,Modern/Abstract,5,T1
assured,确,què,adj,Modern/Abstract,5,T1
doubtful,疑,yí,adj,Modern/Abstract,4,T1
certain,定,dìng,adj,Modern/Abstract,3,T1
uncertain,不,bù,adj,Modern/Abstract,4,T1
definite,定,dìng,adj,Modern/Abstract,3,T3
indefinite,无,wú,adj,Modern/Abstract,5,T1
ambiguous,歧,qí,adj,Modern/Abstract,5,T1
unambiguous,清,qīng,adj,Modern/Abstract,5,T1
clear,明,míng,adj,Modern/Abstract,2,T1
vague,模,mó,adj,Modern/Abstract,4,T1
precise,精,jīng,adj,Modern/Abstract,4,T1
imprecise,粗,cū,adj,Modern/Abstract,5,T1
accurate,准,zhǔn,adj,Modern/Abstract,4,T1
inaccurate,不,bù,adj,Modern/Abstract,5,T1
correct,正,zhèng,adj,Modern/Abstract,2,T1
incorrect,错,cuò,adj,Modern/Abstract,3,T1
right,对,duì,adj,Modern/Abstract,1,T1
wrong,错,cuò,adj,Modern/Abstract,1,T1
true,真,zhēn,adj,Modern/Abstract,1,T1
false,假,jiǎ,adj,Modern/Abstract,2,T1
valid,有,yǒu,adj,Modern/Abstract,4,T2
invalid,无,wú,adj,Modern/Abstract,5,T1
sound,合,hé,adj,Modern/Abstract,4,T1
unsound,不,bù,adj,Modern/Abstract,5,T1
reasonable,理,lǐ,adj,Modern/Abstract,3,T1
unreasonable,不,bù,adj,Modern/Abstract,4,T1
rational,理,lǐ,adj,Modern/Abstract,4,T1
irrational,非,fēi,adj,Modern/Abstract,5,T1
logical,逻,luó,adj,Modern/Abstract,4,T1
illogical,非,fēi,adj,Modern/Abstract,5,T2
coherent,一,yī,adj,Modern/Abstract,5,T1
incoherent,乱,luàn,adj,Modern/Abstract,5,T1
consistent,一,yī,adj,Modern/Abstract,4,T1
